bboxes,track_id,frame,width,height,fps,path
"[[978.312255859375, 515.6687622070312, 992.19970703125, 528.072021484375], [1022.2940673828125, 542.3582763671875, 1031.5501708984375, 559.4237060546875]]","[4.0, 3.0]",1,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[978.4248412019309, 515.6976951853069, 992.022247797861, 527.9996968444038], [1022.4909617422697, 542.4655847848991, 1031.626076437403, 559.3658311756163]]","[4.0, 3.0]",2,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[978.2981931378454, 516.1151235877159, 991.8624547766444, 528.2048701999132], [1022.5832782737255, 542.7269879849015, 1031.5557955759793, 559.3368822829685]]","[4.0, 3.0]",3,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[978.1708182658713, 516.4439628665575, 991.8052363873619, 528.2944211148388], [1022.3460565001091, 542.7042247253441, 1031.4769892797742, 559.6805353761317]]","[4.0, 3.0]",4,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[978.5232734970122, 516.6955464726284, 992.6380301789089, 528.7605382251807], [1022.659629803753, 542.5754236762846, 1031.7101797091068, 559.5487702480957]]","[4.0, 3.0]",5,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[1022.7775243532244, 542.4079015891438, 1031.7898155584319, 559.3573594242797]]",[3.0],6,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[1022.741974848877, 542.3399745623724, 1031.7166543056428, 559.17815451922]]",[3.0],7,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[1022.5714344441249, 542.4456263157019, 1031.6898118090812, 559.6040075464919]]",[3.0],8,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],9,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],10,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],11,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],12,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],13,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],14,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],15,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],16,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
[],[],17,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.2394444525099, 503.00593545175343, 1005.1863749922292, 512.7880749428534], [1023.4222038883432, 547.1429450831355, 1031.712640602753, 558.3084963667178], [982.1956905477361, 495.78258563147335, 991.2549382094292, 501.8530641507426], [948.0081921571541, 556.1030038344456, 957.3465321584963, 561.4750013941991]]","[8.0, 7.0, 6.0, 5.0]",18,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.4392981055066, 501.9830415592937, 1005.0234815463912, 511.14626299406166], [1023.4604445910489, 547.2884541366066, 1031.8238232835868, 558.2515942792747], [981.2358748803978, 496.54580962231415, 989.7410601237026, 502.51253439292674], [946.910069252418, 556.6095839264513, 955.9862495653256, 561.5099436055364]]","[8.0, 7.0, 6.0, 5.0]",19,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.6204869273732, 500.67390581110465, 1005.4546323895698, 509.97574463791636], [1023.5638706901163, 547.7437606456958, 1031.9777863604486, 558.3785904649103], [979.8601031518691, 497.37018716978594, 988.3664302385044, 503.6960574420199], [945.7634875833766, 556.9783916510779, 954.844987802329, 561.9515331539266]]","[8.0, 7.0, 6.0, 5.0]",20,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.5558062674645, 499.9434210901297, 1005.3186027113711, 508.4901779629591], [1023.5214116623713, 548.0351412897126, 1031.7479070942147, 558.3804612967556], [978.6295366268648, 498.1033372285177, 987.0882067886823, 504.7112500599868], [944.1756766508462, 557.6135453321868, 953.3833450879569, 562.7609422015508]]","[8.0, 7.0, 6.0, 5.0]",21,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.7483769117625, 498.6035417533727, 1005.624675978027, 507.09847221905227], [1023.5372679684389, 548.2614240147636, 1031.6534270733266, 558.360103387847], [977.1077107395903, 499.18139135626905, 984.9533094133277, 505.56963528098174], [942.5247069813588, 558.3538878568609, 951.9792346941897, 563.9002348453976]]","[8.0, 7.0, 6.0, 5.0]",22,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.8550951600354, 497.13357042537734, 1005.9264191409824, 506.0368274275248], [1023.5503655838296, 548.3678625448345, 1031.6408087379982, 558.33797385158], [975.1810533387222, 500.53238746237525, 983.1053665980846, 507.04089442391535], [940.7865534554779, 559.3715944969034, 950.4145750171361, 565.2701139086413]]","[8.0, 7.0, 6.0, 5.0]",23,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.8458772382778, 495.44454795756155, 1005.8805001741875, 504.46236416365787], [1023.6856296214496, 548.5614990289056, 1031.6676324338273, 558.2683472675927], [972.9753309972309, 501.6909857258998, 980.8634532059118, 508.36697193074355], [939.2655403193676, 559.8446738513188, 948.9007286396786, 566.1056929345419]]","[8.0, 7.0, 6.0, 5.0]",24,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[999.9902837662781, 494.054853989071, 1006.0397190005634, 503.2268407209694], [1023.5596013724376, 548.5307009439964, 1031.5876349140585, 558.2521777049024], [971.2145756479999, 503.0025865024865, 979.080947667501, 509.7577183325557], [937.6259238262701, 560.320703767493, 947.1706230953228, 566.8705708231086]]","[8.0, 7.0, 6.0, 5.0]",25,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[1000.4227139450285, 492.9847999812199, 1006.5074947834556, 502.0702620547611], [1023.4897996646743, 548.522955608747, 1031.6053596936915, 558.2492908260378], [969.9154349666184, 504.3872010376499, 977.845550179347, 511.6127466240222], [935.8007082234884, 561.7704605165727, 945.4039774382424, 568.6373395454805]]","[8.0, 7.0, 6.0, 5.0]",26,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[977.7481695817755, 537.4811562941929, 983.8024996483466, 546.2913626720258], [1000.8959424139294, 491.8546845320032, 1006.9825929564375, 500.6641133486882], [1023.4270765112958, 548.5364144898609, 1031.6602499513372, 558.2844592138314], [968.4543244378347, 506.25975525779324, 976.1982893522597, 513.7228288593568], [934.2854371349665, 562.6197346341143, 943.6873942196978, 569.5747055698033]]","[12.0, 8.0, 7.0, 6.0, 5.0]",27,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[977.9028600850139, 539.9664380568861, 983.6370301324583, 548.7331037985109], [1001.2097243195625, 490.5364501762005, 1007.5316556972967, 499.25134608615514], [1023.3499372320198, 548.6139128247173, 1031.6913319592632, 558.2982497549758], [967.1458380842416, 508.46502217670934, 974.7682045993963, 515.9175742178758], [932.3729611895957, 563.70525027365, 941.7936397629943, 570.494912801949]]","[12.0, 8.0, 7.0, 6.0, 5.0]",28,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[977.5869580662994, 542.6661137117671, 983.5424805543697, 551.4795937620827], [1002.0049073997884, 489.24598081503615, 1008.353927076105, 497.77551965425556], [1023.3710895152731, 548.542265509162, 1031.9465554516696, 558.237556456636], [965.8608377460685, 510.24626699346055, 973.398637613928, 517.7898372957467], [930.9100215973139, 564.1917132743748, 940.4037458481636, 571.1999023853331]]","[12.0, 8.0, 7.0, 6.0, 5.0]",29,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[988.0672849286112, 498.23464054831845, 993.7629901701383, 507.05469637479234], [977.8081845414434, 545.0145915058439, 983.5845698466447, 553.798606584851], [1002.8165474415624, 487.99822919398434, 1009.1841676375742, 496.7396504916144], [1023.3037188925755, 548.5589529921235, 1032.0499074139161, 558.2501069197181], [965.3001057559009, 510.7089212360403, 972.6736539401813, 518.5801484790876], [929.400515007639, 565.6613036957925, 938.9396776042798, 572.6302995240097]]","[13.0, 12.0, 8.0, 7.0, 6.0, 5.0]",30,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[987.7216129221933, 496.8146846740352, 993.4528738601821, 505.96000121563407], [977.9074832294406, 547.0250149945962, 983.450442903427, 555.8784934481798], [1003.6716824142395, 486.2975775825351, 1009.9131740722594, 495.1725047819272], [1023.2518238846571, 548.7368666309445, 1031.9684085120332, 558.3082490481971], [965.0470949287535, 511.1317119039356, 972.3643696678153, 518.9546064121795], [927.8319461306397, 566.5981302058987, 937.3978261004949, 573.7262440793241]]","[13.0, 12.0, 8.0, 7.0, 6.0, 5.0]",31,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[980.9067510019472, 520.6060896131974, 988.0358638501245, 528.9774055682942], [978.0640147749576, 549.0517132903308, 983.6010760104549, 558.1085247262661], [1004.3331479077556, 485.039591529813, 1010.5742412923094, 493.6042881460634], [1023.2495690306239, 548.389844918231, 1032.0752579311918, 558.4072461177747], [965.0275861907879, 511.2518468674444, 972.3971773571567, 519.0476833984422], [926.7895300722707, 567.6135504911783, 936.0709317235367, 574.9192896700583]]","[14.0, 12.0, 8.0, 7.0, 6.0, 5.0]",32,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
"[[980.9555370222097, 520.6459107524619, 987.6275760580602, 528.6829164662284], [978.2134912508718, 551.0036385573616, 983.7272564047355, 560.4948190766282], [1005.0389354141475, 483.4856931333544, 1011.1891213406959, 491.9934087725047], [1023.0773221098411, 548.1926313456082, 1032.0548547919252, 558.5470334200708], [964.9933771378485, 511.39505995584426, 972.3840952394976, 519.1737819561347], [925.85932646478, 568.9276693895875, 934.61119713571, 576.4797667022391]]","[14.0, 12.0, 8.0, 7.0, 6.0, 5.0]",33,1920,1080,10.0,C:/R_projects/mothz/AC_10out.mp4
