file_name,image_size,inference_info
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-8-24__subdir__2024_01_08__subdir__IMG_0031_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-8-24__subdir__2024_01_08__subdir__IMG_0033_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-8-25__subdir__2025_01_08__subdir__IMG_0010_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-8-25__subdir__2025_01_08__subdir__IMG_0016_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-8-25__subdir__2025_01_08__subdir__IMG_0058.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-9-24__subdir__2024_01_09__subdir__IMG_0024_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-9-24__subdir__2024_01_09__subdir__IMG_0027.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-9-24__subdir__2024_01_09__subdir__IMG_0046.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\1-9-24__subdir__2024_01_09__subdir__IMG_0068.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-10-24__subdir__2024_10_10__subdir__IMG_0009.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-10-24__subdir__2024_10_10__subdir__IMG_0052.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-10-24__subdir__2024_10_10__subdir__IMG_0057_1.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-15-24__subdir__2024_10_15__subdir__IMG_0079.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-15-24__subdir__2024_10_15__subdir__IMG_0084.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-16-24__subdir__2024_10_16__subdir__IMG_0023.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-16-24__subdir__2024_10_16__subdir__IMG_0089.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-16-24__subdir__2024_10_16__subdir__IMG_0090.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-16-24__subdir__2024_10_16__subdir__IMG_0111.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-16-24__subdir__2024_10_16__subdir__IMG_0125.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-2-24__subdir__2024_10_02__subdir__IMG_0081.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-31-24__subdir__2024_10_31__subdir__IMG_0008.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-31-24__subdir__2024_10_31__subdir__IMG_0028.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\10-7-24__subdir__2024_10_07__subdir__IMG_0041.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-1-24__subdir__2024_11_01__subdir__IMG_0083.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-1-24__subdir__2024_11_01__subdir__IMG_0101.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-1-24__subdir__2024_11_01__subdir__IMG_0111.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-1-24__subdir__2024_11_01__subdir__IMG_0114.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-14-24__subdir__2024_11_14__subdir__IMG_0018.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-14-24__subdir__2024_11_14__subdir__IMG_0034.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-14-24__subdir__2024_11_14__subdir__IMG_0056.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-20-23__subdir__2019_03_25__subdir__IMG_0028.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-20-23__subdir__2019_03_25__subdir__IMG_0035.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-20-23__subdir__IMG_0064.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-21-23__subdir__2019_03_26__subdir__IMG_0019.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
C:/R_projects/mothz/coco-annotator/datasets/mothz_sample1\11-21-23__subdir__2019_03_26__subdir__IMG_0053.JPG,"[4000, 6000]",modelv1.0__2026-05-19 22:30:29
