_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
118886,,Rosaceae,Crataegus,,,118886,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
120241,,Anacardiaceae,Mangifera,indica,,120241,Linnaeus,Sphingidae,Daphnis,nerii,,,Southern Africa
119660,,Verbenaceae,Duranta,repens,,119660,Linnaeus,Sphingidae,Agrius,convolvuli,,,Hong Kong
118822,in bark,Cornaceae,Cornus,,,118822,Walker,Sesiidae,Synanthedon,geliformis,,,USA
118803,,Salicaceae,Salix,caprea,,118803,Esper,Sesiidae,Synanthedon,formicaeformis,,,Finland
118893,,Rosaceae,Prunus,padus,,118893,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
120248,,Apocynaceae,Nerium,oleander,,120248,Linnaeus,Sphingidae,Daphnis,nerii,,,East Africa
119667,,Malvaceae,Hibiscus,,,119667,Linnaeus,Sphingidae,Agrius,convolvuli,,,South-East Asia
118826,,Aceraceae,Acer,palmatum,,118826,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118808,under bark,Salicaceae,Salix,,,118808,Esper,Sesiidae,Synanthedon,formicaeformis,,,British Isles
118894,,Rosaceae,Pyrus,,,118894,Borkhausen,Sesiidae,Synanthedon,myopaeformis,,,Palaearctic
120264,,Sterculiaceae,Theobroma,cacao,,120264,Linnaeus,Sphingidae,Daphnis,nerii,,,Old World
119669,,Convolvulaceae,Ipomoea,,,119669,Linnaeus,Sphingidae,Agrius,convolvuli,,,East Africa
118830,,Rosaceae,Prunus,,,118830,Butler,Sesiidae,Synanthedon,hector,,,Old World
118817,,Cornaceae,Cornus,florida,,118817,Walker,Sesiidae,Synanthedon,geliformis,,,Nearctic
118898,in bark,Rosaceae,Pyrus,communis,,118898,Borkhausen,Sesiidae,Synanthedon,myopiformis,,,Palaearctic
120275,on leaves,Apocynaceae,Alstonia,scholaris,,120275,Linnaeus,Sphingidae,Daphnis,nerii,,,Taiwan
119670,,Convolvulaceae,Ipomoea,,,119670,Linnaeus,Sphingidae,Agrius,convolvuli,,,India
118833,,Rosaceae,Prunus,donarium,,118833,Butler,Sesiidae,Synanthedon,hector,,,Palaearctic
118823,in galls,Fagaceae,Quercus,,,118823,Walker,Sesiidae,Synanthedon,geliformis,,,USA
118915,,Pinaceae,Picea,sitchensis,,118915,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
120278,on leaves,Apocynaceae,Catharanthus,roseus,,120278,Linnaeus,Sphingidae,Daphnis,nerii,,,Thailand
119676,,Convolvulaceae,Ipomoea,batatas,,119676,Linnaeus,Sphingidae,Agrius,convolvuli,,,Australia
118835,,Rosaceae,Prunus,persica,,118835,Butler,Sesiidae,Synanthedon,hector,,,Old World
118824,in galls on,Fagaceae,Quercus,,,118824,Walker,Sesiidae,Synanthedon,geliformis,,,USA
118916,,Pinaceae,Pinus,,,118916,Edwards,Sesiidae,Synanthedon,novaroensis,,,Nearctic
120280,on leaves,Rubiaceae,Gardenia,jasminoides,,120280,Linnaeus,Sphingidae,Daphnis,nerii,,,Thailand
119678,,Convolvulaceae,Ipomoea,batatas,,119678,Linnaeus,Sphingidae,Agrius,convolvuli,,,East Africa
118841,,Sterculiaceae,Theobroma,cacao,,118841,Butler,Sesiidae,Synanthedon,hector,,,Old World
