order,superfamily,family,genus,sp,species,tip_lab
Lepidoptera,Yponomeutoidea,Plutellidae,Plutella,xylostella,Plutella xylostella,Yponomeutoidea_Plutellidae_Plutella_xylostella
Lepidoptera,Yponomeutoidea,Yponomeutidae,Yponomeuta,evonymellus,Yponomeuta evonymellus,Yponomeutoidea_Yponomeutidae_Yponomeutinae_Yponomeuta_evonymellus_INShauTBFRAAPEI__34
Lepidoptera,Zygaenoidea,Dalceridae,Dalcera,abrasa,Dalcera abrasa,Zygaenoidea_Dalceridae_Dalcerinae_Dalcera_abrasa_FG120035
Lepidoptera,Zygaenoidea,Lacturidae,Lactura,subfervens,Lactura subfervens,Zygaenoidea_Lacturidae_Lactura_subfervens_Sub
Lepidoptera,Zygaenoidea,Limacodidae,Demonarosa,rufotessellata,Demonarosa rufotessellata,Zygaenoidea_Limacodidae_Demonarosa_rufotessellata_RINSinlTDXRAAPEI__56
Lepidoptera,Zygaenoidea,Megalopygidae,Megalopyge,crispata,Megalopyge crispata,Zygaenoidea_Megalopygidae_Megalopyge_crispata_Lag
Lepidoptera,Zygaenoidea,Megalopygidae,Trosia,sp.,Trosia sp.,Zygaenoidea_Megalopygidae_Trosia_sp_INSerlTAFRAAPEI__62
Lepidoptera,Zygaenoidea,Zygaenidae,Zygaena,fausta,Zygaena fausta,Zygaenoidea_Zygaenidae_Zygaeninae_Zygaena_fausta_INSjdsTAWRAAPEI__39
Mecoptera,N/A,Bittacidae,Bittacus,pilicornis,Bittacus pilicornis,Mecoptera_Bittacidae_Bittacus_pilicornis_
Mecoptera,N/A,Boreidae,Boreus,hyemalis,Boreus hyemalis,Mecoptera_Boreidae_Boreus_hyemalis
Siphonaptera,Ceratophylloidea,Ceratophyllidae,Ceratophyllus,gallinae,Ceratophyllus gallinae,Siphonaptera_Ceratophyllidae_Ceratophyllinae_Ceratophyllus_gallinae
Siphonaptera,Pulicoidea,Pulicidae,Ctenocephalides,felis,Ctenocephalides felis,Siphonaptera_Pulicidae_Archaeopsyllini_Ctenocephalides_felis
Trichoptera,Hydropsychoidea,Hydropsychidae,Arctopsyche,palpata,Arctopsyche palpata,Trichoptera_Hydropsychidae_Arctopsychinae_Arctopsyche_palpata
Trichoptera,Hydroptiloidea,Hydroptilidae,Palaeagapetus,nearcticus,Palaeagapetus nearcticus,Trichoptera_Hydroptilidae_Ptilocolepinae_Palaeagapetus_nearcticus_RINSramTAARAAPEI__209_zz
Trichoptera,Leptoceroidea,Leptoceridae,Nectopsyche,candida,Nectopsyche candida,Trichoptera_Leptoceridae_Leptocerinae_Nectopsyche_candida
Trichoptera,Philopotamoidea,Philopotamidae,Philopotamus,ludificatus,Philopotamus ludificatus,Trichoptera_Philopotamidae_Philopotaminae_Philopotamus
Trichoptera,Philopotamoidea,Stenopsychidae,Stenopsychodes,sp.,Stenopsychodes sp.,Trichoptera_Stenopsychidae_Stenopsychodes_sp
Trichoptera,Phryganeoidea,Phryganeidae,Ptilostomis,semifasciata,Ptilostomis semifasciata,Trichoptera_Phryganeidae_Phryganeinae_Ptilostomis_semifasciata
Trichoptera,Psychomyioidea,Polycentropodidae,Plectrocnemia,sp.,Plectrocnemia sp.,Trichoptera_Polycentropodidae_Polycentropodinae_Plectrocnemia_sp
Trichoptera,Psychomyioidea,Psychomyiidae,Psychomyia,flavida,Psychomyia flavida,Trichoptera_Psychomyiidae_Psychomyiinae_Psychomyia_flavida
Trichoptera,Sericostomatoidea,Helicopsychidae,Helicopsyche,borealis,Helicopsyche borealis,Trichoptera_Helicopsychidae_Helicopsyche_borealis
