P No.,MONA,Genus_Species,Author with Year,Common Name,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Species,MPG URL,MPG Taxonomic Notes yes::Taxonomic Note Striped,MPG Taxonomic Notes yes::Synonymy striped
10001,0001,Epimartyria auricrinella,"Walsingham, 1898",Goldcap Moss-eater,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,auricrinella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1,,"Epimartyria auricrinella Walsingham, 1898"
10002,0001.1,Epimartyria bimaculella,"Davis & Landry, 2012",,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,bimaculella,https://mothphotographersgroup.msstate.edu/species.php?hodges=1.1,,"Epimartyria bimaculella Davis & Landry, 2012"
10003,0002,Epimartyria pardella,"Walsingham, 1880",,Micropterigoidea,Micropterigidae,[Micropteriginae],,,Epimartyria,pardella,https://mothphotographersgroup.msstate.edu/species.php?hodges=2,,"Epimartyria pardella Walsingham, 1880"
70001,0003,Dyseriocrania griseocapitella,"(Walsingham, 1898)",Chinquapin Leaf-miner,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Dyseriocrania,griseocapitella,https://mothphotographersgroup.msstate.edu/species.php?hodges=3,,"Eriocrania griseocapitella Walsingham, 1898
Dyseriocrania auricrinella of authors not Fracker, 1930"
70002,0004,Dyseriocrania auricyanea,"(Walsingham, 1882)",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Dyseriocrania,auricyanea,https://mothphotographersgroup.msstate.edu/species.php?hodges=4,,"Micropteryx auricyanea Walsingham, 1882
Eriocrania cyanosparsella Williams, 1908"
70003,0005,Eriocrania semipurpurella,"(Stephens, 1834)",Purplish Birch-miner,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocrania,semipurpurella,https://mothphotographersgroup.msstate.edu/species.php?hodges=5,,"Lampronia semipurpurella Stephens, 1834
Micropteryx amentella Zeller, 1850
Micropteryx inconspicuella Wood, 1890
Eriocrania pacifica Davis, 1978"
70004,0006,Eriocrania breviapex,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocrania,breviapex,https://mothphotographersgroup.msstate.edu/species.php?hodges=6,,"Eriocrania breviapex Davis, 1978"
70005,0007,Eriocraniella aurosparsella,"(Walsingham, 1880)",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,aurosparsella,https://mothphotographersgroup.msstate.edu/species.php?hodges=7,,"Micropteryx aurosparsella Walsingham, 1880"
70006,0008,Eriocraniella xanthocara,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,xanthocara,https://mothphotographersgroup.msstate.edu/species.php?hodges=8,,"Eriocraniella xanthocara Davis, 1978"
70007,0009,Eriocraniella longifurcula,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,longifurcula,https://mothphotographersgroup.msstate.edu/species.php?hodges=9,,"Eriocraniella longifurcula Davis, 1978"
70008,0010,Eriocraniella platyptera,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,platyptera,https://mothphotographersgroup.msstate.edu/species.php?hodges=10,,"Eriocraniella platyptera Davis, 1978"
70009,0011,Eriocraniella variegata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,variegata,https://mothphotographersgroup.msstate.edu/species.php?hodges=11,,"Eriocraniella variegata Davis, 1978"
70010,0012,Eriocraniella trigona,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,trigona,https://mothphotographersgroup.msstate.edu/species.php?hodges=12,,"Eriocraniella trigona Davis, 1978"
70011,0013,Eriocraniella falcata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,falcata,https://mothphotographersgroup.msstate.edu/species.php?hodges=13,,"Eriocraniella falcata Davis, 1978"
70012,0013.1,Eriocraniella mediabulla,"Davis & Faeth, 1986",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Eriocraniella,mediabulla,https://mothphotographersgroup.msstate.edu/species.php?hodges=13.1,"Eriocraniella mediabulla Davis & Faeth, 1986, n. sp., Proc. Entom. Soc. Wash., v. 88, no. 1, p. 145-153.","Eriocraniella mediabulla Davis & Faeth, 1986"
70013,0014,Neocrania bifasciata,"Davis, 1978",,Eriocranioidea,Eriocraniidae,[Eriocraniinae],,,Neocrania,bifasciata,https://mothphotographersgroup.msstate.edu/species.php?hodges=14,,"Neocrania bifasciata Davis, 1978"
110001,0023,Gazoryctra hyperboreus,"(Möschler, 1862)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,hyperboreus,https://mothphotographersgroup.msstate.edu/species.php?hodges=23,,"Epialus hyperboreus Möschler, 1862"
110002,0023.1,Gazoryctra sciophanes,"(Ferguson, 1979)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,sciophanes,https://mothphotographersgroup.msstate.edu/species.php?hodges=23.1,,"Hepialus sciophanes Ferguson, 1979"
110003,0024,Gazoryctra confusus,"(Edwards, [1885] 1884)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,confusus,https://mothphotographersgroup.msstate.edu/species.php?hodges=24,,"Hepialus confusus Edwards, [1885] 1884"
110004,0025,Gazoryctra roseicaput,"(Neumoegen & Dyar, 1893)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,roseicaput,https://mothphotographersgroup.msstate.edu/species.php?hodges=25,,"Hepialus roseicaput Neumögen & Dyar, 1893
Hepialus demutatus Barnes & Benjamin, [1926] 1925
Hepialus mutatus Barnes & Benjamin, [1926] 1925"
110005,0026,Gazoryctra pulcher,"(Grote, [1865] 1864)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,pulcher,https://mothphotographersgroup.msstate.edu/species.php?hodges=26,,"Hepialus pulcher Grote, [1865] 1864"
110006,0027,Gazoryctra mcglashani,"(Edwards, 1886)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,mcglashani,https://mothphotographersgroup.msstate.edu/species.php?hodges=27,,"Hepialus mcglashani Edwards, 1886"
110007,0028,Gazoryctra mathewi,"(Edwards, 1874)",Matthew's Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,mathewi,https://mothphotographersgroup.msstate.edu/species.php?hodges=28,,"Epialus mathewi Edwards, 1874"
110008,0029,Gazoryctra novigannus,"(Barnes & Benjamin, [1926] 1925)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,novigannus,https://mothphotographersgroup.msstate.edu/species.php?hodges=29,,"Hepialus novigannus Barnes & Benjamin, [1926] 1925
Hepialus mackiei Barnes & Benjamin, [1926] 1925"
110009,0029.1,Gazoryctra wielgusi,"Wagner & Tindale, 1988",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,wielgusi,https://mothphotographersgroup.msstate.edu/species.php?hodges=29.1,"Gazoryctra wielgusi Wagner & Tindale, 1988, n. sp., Jour. Lepid. Soc., v. 42, p. 204-212.","Gazoryctra wielgusi Wagner & Tindale, 1988"
110010,0032,Gazoryctra lembertii,"(Dyar, 1894)",,Hepialoidea,Hepialidae,[Hepialinae],,,Gazoryctra,lembertii,https://mothphotographersgroup.msstate.edu/species.php?hodges=32,,"Hepialus lembertii Dyar, 1894"
110011,0031,Korscheltellus gracilis,"(Grote, [1865])",Conifer Swift Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Korscheltellus,gracilis,https://mothphotographersgroup.msstate.edu/species.php?hodges=31,,"Hepialus gracilis Grote, [1865]
Hepialus furcatus Grote, 1883
Hepialus labradoriensis Packard, [1865] 1864
Hepialus mustelinus Packard, [1865] 1864"
110012,0031.1,Korscheltellus lupulina,"(Linnaeus, 1758)",Common Swift Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Korscheltellus,lupulina,https://mothphotographersgroup.msstate.edu/species.php?hodges=31.1,"Korscheltellus lupulina (Linnaeus, 1758) is now recognized within the North American fauna north of Mexico.","Noctua lupulina Linnaeus, 1758
Hepialus albomarginata Cockayne, 1955
Korscheltellus anteradiata Lempke, 1961
Hepialus continuata van de Pol, 1961
Hepialus cora Schrank, 1801
Hepialus dacius Caradja, 1893
Korscheltellus espanoli Pérez de Gregorio, 1981
Hepialus fuscata van de Pol, 1961
Hepialus fuscus Haworth, 1809
Psilothrix incerta Millière, 1886
Hepialus intermedia Spuler, 1910
Hepialus latemarginatus Bytinski-Salz, 1939
Hepialus maculata van de Pol, 1961
Hepialus obliquus Fabricius, 1794
Hepialus obscura van de Pol, 1961
Korscheltellus pallida Lempke, 1961
Hepialus pauper van de Pol, 1961
Hepialus reducta van de Pol, 1961
Hepialus senex Pfitzner, 1912
Hepialus serraticornis Gmelin, 1790
Hepialus unicolor Spuler, 1910
Hepialus variegata van de Pol, 1961"
110013,0033,Phymatopus behrensii,"(Stretch, 1872)",,Hepialoidea,Hepialidae,[Hepialinae],,,Phymatopus,behrensii,https://mothphotographersgroup.msstate.edu/species.php?hodges=33,"Phymatopus behrensii (Stretch, 1872) corrects the original spelling of behrnsii, see  Stretch, 1872:240, and misspelling of behrensi in Hodges et al. (1983) (Checklist). This species includes as a synonym ","Sthenopis behrensii Stretch, 1872
Sthenopis behrnsii Stretch, 1872 (incorr. orig. spelling)
Hepialus behrensi (McDunnough, 1938) (emend.)
Hepialus anceps Edwards, 1881
Hepialus desolatus Strecker, 1875
Sthenopis montana Stretch, 1872
Epialus tacomae Edwards, 1874"
110014,0035,Phymatopus californicus,"(Boisduval, 1868)",Lupine Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Phymatopus,californicus,https://mothphotographersgroup.msstate.edu/species.php?hodges=35,,"Hepialus californicus Boisduval, 1868
Hepialus baroni Behrens, 1876
Hepialus mendocinolus Behrens, 1876
Hepialus rectus Edwards, 1881
Hepialus sequoiolus Behrens, 1876"
110015,0036,Phymatopus hectoides,"(Boisduval, 1868)",,Hepialoidea,Hepialidae,[Hepialinae],,,Phymatopus,hectoides,https://mothphotographersgroup.msstate.edu/species.php?hodges=36,,"Hepialus hectoides Boisduval, 1868
Hepialus inutilis Edwards, 1881
Hepialus lenzi Behrens, 1876
Epialus modestus Edwards, 1873
Hepialus sangaris Strecker, 1878"
110016,0018,Sthenopis argenteomaculatus,"(Harris, 1841)",Silver-spotted Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Sthenopis,argenteomaculatus,https://mothphotographersgroup.msstate.edu/species.php?hodges=18,,"Hepiolus [sic] argenteomaculatus Harris, 1841
Cossus alni Kellicott, 1885
Sthenopis argentata Packard, [1865] 1864
Hepialus los Strecker, 1893
Sthenopis perdita Dyar, 1893"
110017,0019,Sthenopis purpurascens,"(Packard, 1863)",Four-spotted Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Sthenopis,purpurascens,https://mothphotographersgroup.msstate.edu/species.php?hodges=19,"Sthenopis purpurascens (Packard, 1863): This species includes the former species 0020 - Sthenopis quadriguttatus (Grote, 1864).","Gorgopis purpurascens Packard, 1863
Gorgopis quadriguttatus Grote, 1864
Sthenopis semiauratus Neumögen & Dyar, 1893"
110018,0021,Sthenopis thule,"(Strecker, 1875)",Willow Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Sthenopis,thule,https://mothphotographersgroup.msstate.edu/species.php?hodges=21,,"Hepialus thule Strecker, 1875"
110019,0022,Sthenopis pretiosus,"(Herrich-Schäffer, [1856] 1855)",Gold-spotted Ghost Moth,Hepialoidea,Hepialidae,[Hepialinae],,,Sthenopis,pretiosus,https://mothphotographersgroup.msstate.edu/species.php?hodges=22,"Sthenopis pretiosus (Herrich-Schäffer, [1856] 1855) includes as a synonym [0022] Sthenopis auratus (Grote, 1878) in Mielke & Grehan (2015), The European Entomologist, 7(4): 121-122.","Epiolus [sic] pretiosus Herrich-Schäffer, [1856] 1855
Hepialus auratus Grote, 1878
Phassus eldorado Pfitzner, 1906"
130001,0015,Acanthopteroctetes tripunctata,"Braun, 1921",,Neopseustoidea,Acanthopteroctetidae,[Acanthopteroctetinae],,,Acanthopteroctetes,tripunctata,https://mothphotographersgroup.msstate.edu/species.php?hodges=15,,"Acanthopteroctetes tripunctata Braun, 1921
Acanthopteroctetes tripunctella Davis, 1969"
130002,0016,Acanthopteroctetes bimaculata,"Davis, 1969",,Neopseustoidea,Acanthopteroctetidae,[Acanthopteroctetinae],,,Acanthopteroctetes,bimaculata,https://mothphotographersgroup.msstate.edu/species.php?hodges=16,,"Acanthopteroctetes bimaculata Davis, 1969"
130003,0017,Acanthopteroctetes unifascia,"Davis, 1978",,Neopseustoidea,Acanthopteroctetidae,[Acanthopteroctetinae],,,Acanthopteroctetes,unifascia,https://mothphotographersgroup.msstate.edu/species.php?hodges=17,,"Acanthopteroctetes unifascia Davis, 1978"
130004,0017.1,Acanthopteroctetes aurulenta,"Davis, 1984",,Neopseustoidea,Acanthopteroctetidae,[Acanthopteroctetinae],,,Acanthopteroctetes,aurulenta,https://mothphotographersgroup.msstate.edu/species.php?hodges=17.1,"Acanthopteroctetes aurulenta Davis, 1984, n. sp., Jour. Lepid. Soc., v. 38, no. 1, p. 47-50.","Acanthopteroctetes aurulenta Davis, 1984"
160001,0117,Enteucha basidactyla,"(Davis, 1978)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Enteucha,basidactyla,https://mothphotographersgroup.msstate.edu/species.php?hodges=117,"Enteucha basidactyla: Formerly placed in the genus Manoneura, ZooKeys, 628: 65-246.","Oligoneura basidactyla Davis, 1978"
160002,0118,Enteucha gilvafascia,"(Davis, 1978)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Enteucha,gilvafascia,https://mothphotographersgroup.msstate.edu/species.php?hodges=118,,"Artaversala gilvafascia Davis, 1978"
160003,0111,Stigmella resplendensella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,resplendensella,https://mothphotographersgroup.msstate.edu/species.php?hodges=111,,"Nepticula resplendensella Chambers, 1875"
160004,0096,Stigmella unifasciella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,unifasciella,https://mothphotographersgroup.msstate.edu/species.php?hodges=96,,"Nepticula unifasciella Chambers, 1875"
160005,0071,Stigmella ceanothi,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,ceanothi,https://mothphotographersgroup.msstate.edu/species.php?hodges=71,,"Nepticula ceanothi Braun, 1910"
160006,0077,Stigmella cerea,"(Braun, 1917)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,cerea,https://mothphotographersgroup.msstate.edu/species.php?hodges=77,,"Nepticula cerea Braun, 1917"
160007,0072,Stigmella intermedia,"(Braun, 1917)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,intermedia,https://mothphotographersgroup.msstate.edu/species.php?hodges=72,,"Nepticula intermedia Braun, 1917"
160008,0070,Stigmella prunifoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,prunifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=70,,"Nepticula prunifoliella Clemens, [1862]
Nepticula bifasciella Clemens, 1862
Nepticula serotinaeella Chambers, 1873"
160009,0073,Stigmella rhoifoliella,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,rhoifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=73,,"Nepticula rhoifoliella Braun, 1912"
160010,0076,Stigmella gossypii,"(Forbes & Leonard, 1930)",Cotton Leafminer,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,gossypii,https://mothphotographersgroup.msstate.edu/species.php?hodges=76,,"Nepticula gossypii Forbes & Leonard, 1930"
160010.1,0086.1,Stigmella multispicata,"Rociené & Stonis, 2014",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,multispicata,https://mothphotographersgroup.msstate.edu/species.php?hodges=86.1,"Stigmella multispicata Rociené & Stonis 2014, n. sp., Zootaxa, 3737: 206, a nonnative species from Asian, is now recognized within the North American fauna north of Mexico, ZooKeys, 784: 95-125.","Stigmella multispicata Rociené & Stonis, 2014"
160011,0090,Stigmella castaneaefoliella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,castaneaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=90,,"Nepticula castaneaefoliella Chambers, 1875"
160012,0091,Stigmella flavipedella,"(Braun, 1914)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,flavipedella,https://mothphotographersgroup.msstate.edu/species.php?hodges=91,,"Nepticula flavipedella Braun, 1914"
160013,0088,Stigmella macrocarpae,"(Freeman, 1967)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,macrocarpae,https://mothphotographersgroup.msstate.edu/species.php?hodges=88,"Stigmella macrocarpae (Freeman, 1967), formerly placed in the genus Nepticula, ZooKeys, 628: 65-246, was previously listed as Stigmella latifasciella in Hodges et al. (1983) (Checklist), a homonym of Nepticula latifasciella Herrich-Schäffer, 1855.","Nepticula macrocarpae Freeman, 1967
Nepticula latifasciella Chambers, 1878"
160014,0089,Stigmella nigriverticella,"(Chambers, 1875)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,nigriverticella,https://mothphotographersgroup.msstate.edu/species.php?hodges=89,,"Nepticula nigriverticella Chambers, 1875
Nepticula maculosella Chambers, 1880"
160015,0087,Stigmella saginella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,saginella,https://mothphotographersgroup.msstate.edu/species.php?hodges=87,,"Nepticula saginella Clemens, [1862]
Nepticula fuscocapitella Chambers, 1873
Nepticula quercicastanella Chambers, 1873"
160016,0091.1,Stigmella sclerostylota,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,sclerostylota,https://mothphotographersgroup.msstate.edu/species.php?hodges=91.1,"Stigmella sclerostylota Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella sclerostylota Newton & Wilkinson, 1982"
160017,0095.6,Stigmella betulicola,"(Stainton, 1856)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,betulicola,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.6,"Stigmella betulicola (Stainton, 1856) is now recognized within the North American fauna north of Mexico, ZooKeys, 628: 65-246.","Nepticula betulicola Stainton, 1856
Nepticula betulicolella Doubleday, 1859
Nepticula nanivora Petersen, 1930"
160018,0095.2,Stigmella microtheriella,"(Stainton, 1854)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,microtheriella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.2,"Stigmella microtheriella: Stigmella centifoliella (Zeller, 1848) is now recognized within the North American fauna north of Mexico. Introduced from Eurasia, ZooKeys, 628: 65-246","Nepticula microtheriella Stainton, 1854
Stigmella cathepostis Kemperman & Wilkinson, 1985"
160019,0093.1,Stigmella caryaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,caryaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=93.1,"Stigmella caryaefoliella (Clemens, 1861) is reinstated as a valid species, ZooKeys, 628: 65-246.","Nepticula caryaefoliella Clemens, [1862]
Stigmella juglandifoliella of authors not Clemens, [1862]
Stigmella ostryaefoliella of authors not Clemens, [1862]"
160020,0092,Stigmella corylifoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,corylifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=92,,"Nepticula corylifoliella Clemens, [1862]
Nepticula exasperata Braun, 1930
Nepticula minimella Chambers, 1873
Nepticula opulifoliella Braun, 1914
Nepticula paludicola Braun, 1917
Nepticula virginiella Clemens, [1862]"
160021,0095,Stigmella juglandifoliella,"(Clemens, [1862])",Pecan Serpentine Leafminer,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,juglandifoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95,,"Nepticula juglandifoliella Clemens, [1862]"
160022,0095.1,Stigmella longisacca,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,longisacca,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.1,"Stigmella longisacca Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella longisacca Newton & Wilkinson, 1982"
160023,0094,Stigmella myricafoliella,"(Busck, 1900)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,myricafoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=94,,"Nepticula myricafoliella Busck, 1900
Nepticula obscurella Braun, 1912"
160024,0093,Stigmella ostryaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,ostryaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=93,,"Nepticula ostryaefoliella Clemens, [1862]"
160025,0098,Stigmella tiliella,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,tiliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=98,,"Nepticula tiliella Braun, 1912"
160026,0097,Stigmella condaliafoliella,"(Busck, 1900)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,condaliafoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=97,,"Nepticula condaliafoliella Busck, 1900"
160027,0075,Stigmella diffasciae,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,diffasciae,https://mothphotographersgroup.msstate.edu/species.php?hodges=75,,"Nepticula diffasciae Braun, 1910"
160028,0076.1,Stigmella inconspicuella,"Newton & Wilkinson, 1982",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,inconspicuella,https://mothphotographersgroup.msstate.edu/species.php?hodges=76.1,"Stigmella inconspicuella Newton & Wilkinson, 1982, n. sp., Systematic Entomology, v. 7, p. 367-463.","Stigmella inconspicuella Newton & Wilkinson, 1982"
160029,0074,Stigmella rhamnicola,"(Braun, 1916)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,rhamnicola,https://mothphotographersgroup.msstate.edu/species.php?hodges=74,,"Nepticula rhamnicola Braun, 1916
Nepticula rhamnella Braun, 1912"
160030,0078,Stigmella rosaefoliella,"(Clemens, [1862])",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,rosaefoliella,https://mothphotographersgroup.msstate.edu/species.php?hodges=78,,"Nepticula rosaefoliella Clemens, [1862]"
160031,0095.3,Stigmella confusella,"(Wood & Walsingham, 1894)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,confusella,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.3,"Stigmella confusella (Wood & Walsingham, 1894)  is now recognized within the North American fauna north of Mexico, ZooKeys, 628: 65-246.","Nepticula confusella Wood & Walsingham, 1894"
160032,0095.4,Stigmella lapponica,"(Wocke, 1862)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,lapponica,https://mothphotographersgroup.msstate.edu/species.php?hodges=95.4,"Stigmella lapponica (Wocke, 1862) is now recognized within the North American fauna north of Mexico, ZooKeys, 628: 65-246.","Nepticula lapponica Wocke, 1862
Nepticula lapponicella Herrich-Schäffer, 1862
Nepticula lusatica Schütze, 1905
Nepticula vossensis Grønlien, 1928"
160033,0104,Stigmella braunella,"(Jones, 1933)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,braunella,https://mothphotographersgroup.msstate.edu/species.php?hodges=104,,"Nepticula braunella Jones, 1933"
160034,0079,Stigmella slingerlandella,"(Kearfott, 1908)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,slingerlandella,https://mothphotographersgroup.msstate.edu/species.php?hodges=79,,"Nepticula slingerlandella Kearfott, 1908"
160035,0079.2,Stigmella salicis,"(Stainton, 1854)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,salicis,https://mothphotographersgroup.msstate.edu/species.php?hodges=79.2,"Stigmella salicis (Stainton, 1854) is now recognized within the North American fauna north of Mexico, ZooKeys, 628: 65-246.","Nepticula salicis Stainton, 1854
Nepticula auritella Skala, 1939
Nepticula dewitziella Sorhagen, 1885
Nepticula salicella Herrich-Schäffer, 1855
Nepticula salicivorella Doubleday, 1859"
160036,0085,Stigmella aromella,"Wilkinson & Scoble, 1979",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,aromella,https://mothphotographersgroup.msstate.edu/species.php?hodges=85,,"Stigmella aromella Wilkinson & Scoble, 1979"
160037,0082,Stigmella fuscotibiella,"(Clemens, 1862)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,fuscotibiella,https://mothphotographersgroup.msstate.edu/species.php?hodges=82,,"Nepticula fuscotibiella Clemens, 1862
Nepticula ciliaefuscella Chambers, 1873
Nepticula discolorella Braun, 1912
Nepticula furcotibiella Riley, 1891"
160038,0086,Stigmella pallida,"(Braun, 1912)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,pallida,https://mothphotographersgroup.msstate.edu/species.php?hodges=86,,"Nepticula pallida Braun, 1912"
160039,0084,Stigmella populetorum,"(Frey & Boll, 1878)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,populetorum,https://mothphotographersgroup.msstate.edu/species.php?hodges=84,,"Nepticula populetorum Frey & Boll, 1878"
160040,0101,Stigmella altella,"(Braun, 1914)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,altella,https://mothphotographersgroup.msstate.edu/species.php?hodges=101,,"Nepticula altella Braun, 1914"
160041,0099,Stigmella quercipulchella,"(Chambers, 1882)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,quercipulchella,https://mothphotographersgroup.msstate.edu/species.php?hodges=99,,"Nepticula quercipulchella Chambers, 1878
Nepticula terminella Braun, 1914"
160042,0100,Stigmella variella,"(Braun, 1910)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,variella,https://mothphotographersgroup.msstate.edu/species.php?hodges=100,,"Nepticula variella Braun, 1910"
160043,0078.1,Stigmella anomalella,"(Goeze, 1783)",,Nepticuloidea,Nepticulidae,[Nepticulinae],,,Stigmella,anomalella,https://mothphotographersgroup.msstate.edu/species.php?hodges=78.1,"Stigmella anomalella (Goeze, 1783) is now recognized within the North American fauna north of Mexico following unpubl. info from van Nieukerken, 2010.","Phalaena anomalella Goeze, 1783
Nepticula aeneella Heinemann, 1862
Stigmella caulescentella Klimesch, 1948
Nepticula fletcheri Tutt, 1899
Phalaena grisearosae Retzius, 1783
Nepticula helbigi Hartig, 1941
Nepticula laticuniculella Sauber, 1904
Stigmella pacifica Puplesis, 1987
Tinea penicilla Thunberg, 1794
Nepticula rosarum Sorhagen, 1922
Tinea rosella Schrank, 1802
Stigmella rubicurrens Walsingham, 1908
Nepticula zermattensis Weber, 1936"
