file_name,image_id
12-13-24__subdir__2024_12_13__subdir__IMG_0011,9900000
12-13-24__subdir__2024_12_13__subdir__IMG_0018_1,10000000
12-13-24__subdir__2024_12_13__subdir__IMG_0034_1,10100000
12-13-24__subdir__2024_12_13__subdir__IMG_0054_1,10200000
12-13-24__subdir__2024_12_13__subdir__IMG_0077,10300000
12-15-23__subdir__2023_12_15__subdir__IMG_0022,10400000
12-2-24__subdir__2024_12_02__subdir__IMG_0040,10500000
12-2-24__subdir__2024_12_02__subdir__IMG_0059,10600000
12-20-23__subdir__2023_12_20__subdir__IMG_0004_1,10700000
12-20-23__subdir__2023_12_20__subdir__IMG_0006,10800000
12-29-23__subdir__2023_12_29__subdir__IMG_0081,10900000
12-29-23__subdir__2023_12_29__subdir__IMG_0101,11000000
12-3-24__subdir__2024_12_03__subdir__IMG_0008,11100000
12-3-24__subdir__2024_12_03__subdir__IMG_0013,11200000
12-3-24__subdir__2024_12_03__subdir__IMG_0015,11300000
12-3-24__subdir__2024_12_03__subdir__IMG_0065,11400000
12-3-24__subdir__2024_12_03__subdir__IMG_0072,11500000
12-3-24__subdir__2024_12_03__subdir__IMG_0082,11600000
12-3-24__subdir__2024_12_03__subdir__IMG_0099,11700000
12-4-23__subdir__2023_12_04__subdir__IMG_0060,11800000
12-4-23__subdir__2023_12_04__subdir__IMG_0109,11900000
12-4-23__subdir__2023_12_04__subdir__IMG_0129,12000000
12-4-23__subdir__2023_12_04__subdir__IMG_0154,12100000
12-4-23__subdir__2023_12_04__subdir__IMG_0171,12200000
12-4-23__subdir__IMG_0048,12300000
12-5-23__subdir__2023_12_05__subdir__IMG_0013_1,12400000
12-5-23__subdir__2023_12_05__subdir__IMG_0031,12500000
12-5-23__subdir__2023_12_05__subdir__IMG_0061_1,12600000
12-5-23__subdir__2023_12_05__subdir__IMG_0074,12700000
12-5-23__subdir__2023_12_05__subdir__IMG_0115,12800000
12-5-23__subdir__2023_12_05__subdir__IMG_0124,12900000
12-5-23__subdir__2023_12_05__subdir__IMG_0151,13000000
12-5-23__subdir__2023_12_05__subdir__IMG_0166,13100000
12-5-23__subdir__2023_12_05__subdir__IMG_0176,13200000
12-5-23__subdir__2023_12_05__subdir__IMG_0271,13300000
12-5-24__subdir__2024_12_05__subdir__IMG_0062,13400000
12-5-24__subdir__2024_12_05__subdir__IMG_0094,13500000
12-6-23__subdir__2023_12_06__subdir__IMG_0018,13600000
12-6-23__subdir__2023_12_06__subdir__IMG_0073,13700000
12-6-23__subdir__2023_12_06__subdir__IMG_0167,13800000
12-6-23__subdir__2023_12_06__subdir__IMG_0174,13900000
12-6-24__subdir__2024_12_06__subdir__IMG_0010_1,14000000
12-6-24__subdir__2024_12_06__subdir__IMG_0016,14100000
12-7-23__subdir__2023_12_07__subdir__IMG_0080,14200000
2-13-24__subdir__2024_02_13__subdir__IMG_0041,14300000
2-14-24__subdir__2024_02_14__subdir__IMG_0004,14400000
2-14-24__subdir__2024_02_14__subdir__IMG_0009,14500000
2-14-24__subdir__2024_02_14__subdir__IMG_0022,14600000
2-14-24__subdir__2024_02_14__subdir__IMG_0099,14700000
2-15-24__subdir__2024_02_15__subdir__IMG_0010_1,14800000
2-15-24__subdir__2024_02_15__subdir__IMG_0016,14900000
2-15-24__subdir__2024_02_15__subdir__IMG_0016_1,15000000
