file_name,MONA,tag_id,date,location,month,year,doy,superfamily,family,subfamily,genus,sp,sex,id,path,tick_size,body_area,body_area_black,body_area_other,forewing_area,forewing_area_black,forewing_area_other,hindwing_area,hindwing_area_black,hindwing_area_other,wing_length
img_moth_00000233.jpg,8170,2024DCR7943,2024-11-02T04:00:00Z,Scrub Oak Trap,11,2024,307,Noctuoidea,Erebidae,Arctiinae,Apantesis,vittata,Male,53600000,D:/moth_photos/database/batch_01/img_moth_00000233.jpg,37.32,50.20382221946515,31.034280731864506,19.16954148760065,82.43175674821853,57.86115620071018,24.570600547508356,65.82219878711851,22.5778269455444,43.24437184157411,14.466299842515278
img_moth_00000273.jpg,8170,2024DCR7964,2024-04-01T04:00:00Z,Cypress Trap,4,2024,92,Noctuoidea,Erebidae,Arctiinae,Apantesis,vittata,Male,57600000,D:/moth_photos/database/batch_01/img_moth_00000273.jpg,37.059999999999995,85.00494669020267,66.07770424646489,18.927242443737786,111.54626225641886,89.97457194456331,21.571690311855548,90.24287564483905,44.0200092672171,46.22286637762193,17.595102817007362
img_moth_00000377.jpg,8170,2024DCR8079,2024-05-11T04:00:00Z,James Cane,5,2024,132,Noctuoidea,Erebidae,Arctiinae,Apantesis,vittata,Male,68000000,D:/moth_photos/database/batch_01/img_moth_00000377.jpg,37.14285714285714,56.80556952662723,34.20721893491125,22.598350591715977,80.14399408284025,58.28825443786984,21.855739644970413,61.66171597633138,19.84934911242604,41.81236686390534,14.80647864494124
img_moth_00000807.jpg,8196,2023DCR5369,2023-08-06T04:00:00Z,Live Oak Trap,8,2023,218,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,111000000,D:/moth_photos/database/batch_01/img_moth_00000807.jpg,37.52,84.73767792926927,69.11239378798969,15.62528414127958,170.84385129636615,96.80906501607102,74.03478628029514,146.56646519155666,51.056636176413086,95.50982901514357,21.065087734571396
img_moth_00000819.jpg,8170,2023DCR5364,2023-08-06T04:00:00Z,Live Oak Trap,8,2023,218,Noctuoidea,Erebidae,Arctiinae,Apantesis,vittata,Male,112200000,D:/moth_photos/database/batch_01/img_moth_00000819.jpg,37.059999999999995,38.33066024698795,25.885300277346673,12.445359969641274,68.08834378055279,49.92633115768279,18.16201262287,58.264132578869656,21.362362458858893,36.90177012001077,13.635888923372931
img_moth_00000828.jpg,8196,2023DCR5360,2023-10-07T04:00:00Z,Ormond Hall Trap,10,2023,280,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,113100000,D:/moth_photos/database/batch_01/img_moth_00000828.jpg,37.120000000000005,117.30470782086056,89.8849723171819,27.419735503678652,215.61703131967147,116.3253149152794,99.29171640439208,194.84366871655763,70.20712182297858,124.63654689357904,23.020782935794458
img_moth_00000833.jpg,8196,2023DCR5450,2023-09-16T04:00:00Z,Live Oak Trap,9,2023,259,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,113600000,D:/moth_photos/database/batch_01/img_moth_00000833.jpg,37.294117647058826,105.5749161599777,76.59194538705728,28.982970772920424,195.19485466070913,89.16841644359083,106.0264382171183,168.70603996457322,69.53152086298002,99.1745191015932,23.26114669418981
img_moth_00000836.jpg,8196,2023DCR5449,2023-09-16T04:00:00Z,Live Oak Trap,9,2023,259,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,113900000,D:/moth_photos/database/batch_01/img_moth_00000836.jpg,36.94117647058823,123.8056906466794,91.85062274331618,31.95506790336323,218.61091601079156,130.59827224228167,88.01264376850989,171.97040321108366,68.08702939267314,103.88337381841052,23.77915004295491
img_moth_00000839.jpg,8196,2023DCR5448,2023-09-16T04:00:00Z,Live Oak Trap,9,2023,259,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,114200000,D:/moth_photos/database/batch_01/img_moth_00000839.jpg,37.27450980392157,110.52735485434864,91.28976305004066,19.237591804307986,214.52738045066675,116.26260936891654,98.2647710817502,170.80672593759314,73.04145496666806,97.76527097092507,22.27230371115021
img_moth_00000888.jpg,8196,2023DCR5321,2023-10-07T04:00:00Z,Ormond Hall Trap,10,2023,280,Noctuoidea,Erebidae,Arctiinae,Apantesis,parthenice,Male,119100000,D:/moth_photos/database/batch_01/img_moth_00000888.jpg,37.07843137254902,83.69410601191706,70.15369023745477,13.54041577446229,203.7459613449105,117.97120429902448,85.77475704588603,163.00615219018752,71.49351166887264,91.51264052131488,22.10587349410356
