file_name,image_size,inference_info
D:\moth_photos\database\batch_17\img_moth_00032001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032019.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032020.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032021.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032022.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032023.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032024.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032025.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032026.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
D:\moth_photos\database\batch_17\img_moth_00032027.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:04:17
