file_name,image_size,tick_size,tag_text,tag_id_guess_m,tag_id_guess_h,inference_info
D:/moth_photos/database\batch_20\img_moth_00038001.jpg,"[4000, 6000]",55.795918367346935,"['Salebriaria\npumilellaRag\n\nDetBGScholtens\n\nDec2024\n', 'WPC\n19912\n', 'RBDominick\nMcClellanville\nfhe Carolin\n\nBES\n']","['R\nDRC\nD2024\n', 'RC\n19912\n', 'RRD\nC\n3 C\n']","['C\n2024\n', 'WPC\n19912\n', 'C\n3 C\n\nP\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038002.jpg,"[4000, 6000]",55.76315789473684,"['WPC\n19813\n', 'RBDominick\nCharlesREdwards\nMcCleJlanville\nAor Carolina\n\nSs\nBhorily1F22\nLrahtYo\n']","['C\n19813\n', 'RRD\n\nCR\n\nC\nC\n\n122\n']","['WPC\n19813\n', 'C\nC\nC\n\n122\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038003.jpg,"[4000, 6000]",55.10000000000001,"['WPC\n19911\n', '2BDominick\nAcClellanville\n3OR Garolina\n\n20Meg 1994\n\nLight oye\n', 'Salebriaria\n\npumilella Rag\nDetBGScholtens\nDec2024\n']","['C\n19911\n', '2RD\nC\n3R\n\n20 1994\n', 'R\nD\nD2024\n']","['WPC\n19911\n', '2\nC\n3\n\n20W 1994\n', 'P\n2024\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038004.jpg,"[4000, 6000]",55.21052631578947,"['RBDominick\nMcClellanville\nSouth Carolina\n\n7Mar1974\nLisht2\n', 'WwPC\n19814\n']","['RD\nC\nC\n\n71974\n2\n', 'C\n19814\n']","['C\nC\n\n71974\n2\n', 'WPC\n19814\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038005.jpg,"[4000, 6000]",55.87179487179487,"['WPC\n19913\n', 'Salebriaria\n\npumilellaRag\n\nDetBGScholtens\nDec2024\n\n', 'RB Dominic\nMcClellanville\nNaga\n\na\nSiaht f\n']","['C\n19913\n', 'R\nDR\nD2024\n\n', 'R D\nC\n']","['WPC\n19913\n', 'P\n2024\n\n', 'C\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038006.jpg,"[4000, 6000]",56.026315789473685,"['WPC\n19815\n', 'RBDominick\nCharlesREdwards\nMcClellanville\nSouthCarolina\n\nMO4rlhyLA71\n']","['C\n19815\n', 'RD\nCR\nC\nC\n\n471\n']","['WPC\n19815\n', 'C\nC\nC\n\n471\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038007.jpg,"[4000, 6000]",55.125,"['WPC\n19914\n', 'Salebriaria\n\npumilellaRag\nDetBGScholtens\nDec2024\n', 'RBDominick\nMcClellanville\nSouthkCarolina\n\ntz\n\nLight\n']","['C\n19914\n', 'R\nD\nD2024\n', 'RD\nC\nC\n']","['WPC\n19914\n', '2024\n', 'C\nC\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038008.jpg,"[4000, 6000]",56.07894736842105,"['WPC\n19816\n', 'RBDominick\nChariesREdwards\nMcClellanville\nSouth Capolme\n22Sah ae L77h\n\nLisheF\n']","['C\n19816\n', 'RRD\nCR\nC\nC\n22 177\n\nC42\n']","['WPC\n19816\n', 'C\nC\nC\n22 177\n\nC42\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038009.jpg,"[4000, 6000]",55.475,"['Salebriaria\npumilellaRag\n\nDetBGScholtens\n\nDec2024\n', 'WPC\n19915\n', 'RBDominick\nMcClellanville\nMe Carolina\n']","['R\nDR\nD2024\n', 'C\n19915\n', 'RRD\nC\nC\n']","['2024\n', 'WPC\n19915\n', 'C\nC\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038010.jpg,"[4000, 6000]",56.39473684210527,"['WPC\n19817\n', 'RBDominick\nCharlesREdwards\nMcClellanville\nSouth Carolina\n\nb7Aprilt97\nLightoF\n']","['C\n19817\n', 'RRD\nCR\nC\nC\n\n797\n']","['WPC\n19817\n', 'C\nC\nC\n\n797\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038011.jpg,"[4000, 6000]",55.81632653061224,"['WPC\n19916\n', 'Salebriaria\npumilellaRag\n\nDetBGScholtens\n\nDec2024\n', 'RBDominick\nMcClellanville\n\nae oy lina\nLighEk\n']","['C\n19916\n', 'R\nD\nD2024\n', 'RD\nC\n']","['WPC\n19916\n', '2024\n', 'C\n']",modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038012.jpg,"[4000, 6000]",56.36842105263158,['WPC\n19818\n'],['RC\n19818\n'],['WPC\n19818\n'],modelv1.0__2026-05-18 08:48:43
D:/moth_photos/database\batch_20\img_moth_00038013.jpg,"[4000, 6000]",55.34,"['WPC\n19917\n', 'RB Dominick\nMcClellanville\nSouthCarolinz\n\n17foaT275\n']","['RC\n19917\n', 'R D\nC\nC\n\n17275\n']","['WPC\n19917\n', 'C\nC\n\n17275\n']",modelv1.0__2026-05-18 08:48:43
