file_name,image_size,tick_size,tag_text,tag_id_guess_m,tag_id_guess_h,inference_info
D:/moth_photos/database\batch_10\img_moth_00018001.jpg,"[4000, 6000]",36.549019607843135,"['WPC\n2587\n', 'yOTuTWOggPIeYOTYhaT\nLer AYYF2\nawWOS0Du0ySaTIeYD\nOTITAURTTSTOOWANTuZ\n44 aFuorzequeta abpem\n', '']","['C\n2587\n', '2\n0D0RD\nRC\n44 7 26\n', '']","['WPC\n2587\n', 'WP\nP 2\nW00\nPCW\n44 7 26\n', '']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018002.jpg,"[4000, 6000]",37.24,"['WPC\n2496\n', 'ELALARIA\nCHALCEDONA\n\nC4EM\ndetELTodd\n\n', 'KBDominick\nMcClellanville\nSouth Garolin\n\n26 fuly IF7\npga e\n']","['C\n2496\n', 'R\nCCD\n\nC4\nC\n\n', 'RD\nC\n\n26 97\n']","['WPC\n2496\n', 'PP\nCPC\n\nC4\nC\n\n', 'C\n\n26 97\nP\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018003.jpg,"[4000, 6000]",36.64705882352941,"['WPC\n2528\n', 'RBVominick\nee CharlesREdwards\n\nMcClellanville\n\nSouthCarolina29453\n\n41Oct9b67\nLicone\n']","['C\n2528\n', 'R\nCR\n\nC\n\nC29453\n\n41967\nC\n']","['WPC\n2528\n', 'C\nC\nC29453\n\n41967\nC\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018004.jpg,"[4000, 6000]",37.22,"['WPC\n2588\n', 'WedgePlantation\n7miNEMcClellanvilleY\nCharleston yors CARyw\n\nSpt 196D a\nlegRi rdB ted\n', '']","['C\n2588\n', '7C\nC CR\n\n196D\nR 8\n', '']","['WPC\n2588\n', 'WP\n7C\nC CW\n\nP 196\n8\n', '']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018005.jpg,"[4000, 6000]",37.24,"['WPC\n2497\n', 'x5BbVOMINICK\nSharlesREdwards\nMicCle llanville\nsouth C4rolina\n\n1SNou197e\nliche\n', 'jkf\nElaj Ma\nSiadee ad enete\nAtHF4isyr\n']","['C\n2497\n', '5C\nCR\nC\nC4\n\n11970\n', '4\n']","['WPC\n2497\n', '5C\nC\nC\nC4\n\n11970\n', '4\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018006.jpg,"[4000, 6000]",36.549019607843135,"['WPC\n2529\n', 'RBDominick\n\nCharlesREdwards\n\nMcGlellanville 4\n\nSouthCarolina29458\n29Ree19t9\nLsGbhd\n']","['C\n2529\n', 'RRD\nCR\n4\nC29458\n29R199\n6\n']","['WPC\n2529\n', 'C\n4\nC29458\n29199\n6\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018007.jpg,"[4000, 6000]",36.705882352941174,"['WPC\n2589\n', 'Wedge Plantation A4nT\n7miNE McCleltanyR le\nCharlestonCoSeCAR\n\nZEsfov197 ar\n\nlegsRichardB Dominick\n\n', '']","['C\n2589\n', '4\n7 C1R\nCC0CR\n\n2197\n\nR D\n\n', '']","['WPC\n2589\n', 'W P 4\n7 C1\nCC0C\n\n2197\n\n', '']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018008.jpg,"[4000, 6000]",37.120000000000005,"['WPC\n2498\n', 'RBDominick\nCharlesR Edwanisp\nMcGlellanville\nSouthCarolina 29458\n\n2TSepsSG2\n\nCltch4\n']","['C\n2498\n', 'RD\nCR\nC 29458\n\n2C52\n\nC4\n']","['WPC\n2498\n', 'C\nC 29458\n\n2C52\n\nC4\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018009.jpg,"[4000, 6000]",36.745098039215684,"['WPC\n2530\n', 'RBDominick\n\nCharlesREdwards\n\nMeClellanville cs\n\nSouthCarolina29458\n\n123SepfST6\n1Sun\n']","['C\n2530\n', 'RD\nCR\nC\nC29458\n12376\n1\n']","['WPC\n2530\n', 'C\nC\nC29458\n12376\n1\n']",modelv1.0__2026-05-21 01:47:21
D:/moth_photos/database\batch_10\img_moth_00018010.jpg,"[4000, 6000]",36.84313725490196,"['WPC\n2590\n', 'WedgePlantation H9N\n\n7misNEMcClellanville\n\nCharlestonCgSeCAR\n6 O 196\n\nlegRichardBDominick\n', '']","['C\n2590\n', '9\n\n7C\n\nCCCR\n6 196\n\nR3D\n', '']","['WPC\n2590\n', 'WP 9\n\n7C\n\nCCC\n6 196\n\n3\n', '']",modelv1.0__2026-05-21 01:47:21
