file_name,image_size,tick_size,tag_text,tag_id_guess_m,tag_id_guess_h,inference_info
D:/moth_photos/database\batch_15\img_moth_00028001.jpg,"[4000, 6000]",36.90196078431373,"['WPC\n11635\n', 'RBDominick\nMcClellanville\nSouthCarolina\n']","['C\n11635\n', 'RD\nC\nC\n']","['WPC\n11635\n', 'C\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028002.jpg,"[4000, 6000]",36.80392156862745,"['WPC\n11636\n', 'RBDominick\nMcClellanville\nSouth Carolina\n\nn3 Febl97\nl abt\n', 'KB Dominick\n\nFes WPC\n199\n\neave p 11636\n']","['C\n11636\n', 'RRD\nC\nC\n\nR3 197\n', 'R D\nC\n199\n11636\n']","['WPC\n11636\n', 'C\nC\n\n3 197\n', 'WPC\n199\n11636\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028003.jpg,"[4000, 6000]",37.1764705882353,"['WPC\n11637\n', 'NDVOMINICK\nAcClellanville\n\nva erft93\nraifP\n\nBait\n', '']","['C\n11637\n', 'DC\nC\n\n493\n\nD\n', '']","['WPC\n11637\n', 'C\nC\n\n493\nP\n', '']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028004.jpg,"[4000, 6000]",37.03921568627451,"['WPC\n11638\n', 'RBDominick\nMcClellanville\nSouth Carolina\n\n72\nOo L2\n']","['C\n11638\n', 'RD\nC\nC\n\n72\n9 2\n']","['WPC\n11638\n', 'C\nC\n\n72\n9 2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028005.jpg,"[4000, 6000]",37.254901960784316,"['WPC\n11639\n', 'RBDominick\nMcClelLlanville\n\nppoctiets\n']","['C\n11639\n', 'RD\nC\n']","['WPC\n11639\n', 'C\n\nP\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028006.jpg,"[4000, 6000]",36.71153846153846,"['WPC\n11640\n', 'KBDominick\nMcClellanville\nouthCarolina\n', 'bDominick\nMecClellamalte WPC\nputhCarolina\n\neeM11640\n\n']","['C\n11640\n', 'RDD\nC\nC\n', '6D\nC RC\nC\n\n11640\n\n']","['WPC\n11640\n', 'C\nC\n', '6\nC WPC\nC\n\n11640\n\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028007.jpg,"[4000, 6000]",37.11764705882353,"['WPC\n11641\n', 'KBDominick\nMcClellanville\nSouthCarolina\n\nLeaky\n', 'inick\nMcClellawilefVVPC\n\n20 Garoling\nDoda 1164\n\n']","['C\n11641\n', 'RDD\nC\nC\n\nR\n', 'CC\n\n20\nD 1164\n\n']","['WPC\n11641\n', 'C\nC\n\nP\n', 'CWPC\n\n20\nP 1164\n\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028008.jpg,"[4000, 6000]",36.57692307692308,"['WPC\n11642\n', 'RBDominick\nMcClellanville\nSouthCarolina\n\nBOch1922\niaht2\n', '2BDominick\nAcClellanville\nae Carolina\n\n972\nahh\n']","['RC\n11642\n', 'RD\nC\nC\n\nD1922\n2\n', '2RD\nC\nC\n\n972\nD\n']","['WPC\n11642\n', 'C\nC\n\n1922\n2\n', '2\nC\nC\n\n972\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028009.jpg,"[4000, 6000]",36.705882352941174,"['WPC\n11643\n', 'RB Dominick\nMcClellanville\nSouthCarolina\n\nBOK t23\nabe\n']","['C\n11643\n', 'R D\nC\nC\n\n0 23\n']","['WPC\n11643\n', 'C\nC\n\n0 23\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028010.jpg,"[4000, 6000]",37.27450980392157,"['WPC\n11644\n', 'KBDominick\nMcClellanville\nsouthCarolina\n\n1Oef1472\nhaht\n', 'RB Dominick\nLoef7\n\n']","['C\n11644\n', 'R6D\nC\nC\n\n11472\n', 'R8 D\n7\n\n']","['WPC\n11644\n', '6\nC\nC\n\n11472\n', '8\n7\n\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028011.jpg,"[4000, 6000]",37.21568627450981,"['WPC\n11645\n', 'KBDominick\nMcClellanville\nSouth Carolina\n\nCobian\n']","['RC\n11645\n', 'RRD\nC\nC\n\nC\n']","['WPC\n11645\n', 'C\nC\n\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028012.jpg,"[4000, 6000]",36.57692307692308,"['WPC\n11646\n', 'RBDominick\nMcClellanville\nSouthCarolina\n\n3 otI122\n']","['C\n11646\n', 'RRD\nC\n0C\n\n3 122\n']","['WPC\n11646\n', 'C\n0C\n\n3 122\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028013.jpg,"[4000, 6000]",37.09803921568628,"['WPC\n11648\n', 'RBVominick\nMcClellanville\n\nSDALHIZ\n\noht2\n']","['C\n11648\n', 'RRD\nC\n\nDR\n\n2\n']","['WPC\n11648\n', 'C\n\nP\n\n2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028014.jpg,"[4000, 6000]",37.254901960784316,"['WPC\n11647\n', 'RBDominick\nMcClennanville\neC Oger\n\nI\neure\n']","['RC\n11647\n', 'RD\nC\nC\n']","['WPC\n11647\n', 'C\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028015.jpg,"[4000, 6000]",36.71153846153846,"['WC\n11650\n', 'RBDominick\nMcClellanville\n\nSOc\nLight2\n']","['C\n11650\n', 'RRD\nC\n\n30\n2\n']","['WC\n11650\n', 'C\n\n30P\n2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028016.jpg,"[4000, 6000]",36.61538461538461,"['WPC\n11649\n', 'RB Dominick\nMcClellanville\nSouthCarolina\n\nZAMag1H\nLobe\n']","['RC\n11649\n', 'R D\nC\nC\n\n221\n']","['WPC\n11649\n', 'C\nC\n\n221W\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028017.jpg,"[4000, 6000]",37.235294117647065,"['WPC\n11651\n', 'VDVOMINICK\nAcClellanville\nsouthCarolina\n']","['C\n11651\n', 'DCR\nC\n0C\n']","['WPC\n11651\n', 'C\nC\n0C\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028018.jpg,"[4000, 6000]",37.07843137254902,"['WPC\n11652\n', 'BDominick\nAcClellanville\n\nOcha\n\nlich\n', 'RBDo min icK\njeer 1165\n\n']","['C\n11652\n', '8RD\nC\n\nC72\n', 'RD C\n1165\n\n']","['WPC\n11652\n', '8\nC\n\nC72\n', 'C\n1165\n\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028019.jpg,"[4000, 6000]",37.09803921568628,"['WPC\n11653\n', 'RBDominick\nMcClellanville\nsouthCarolina\n\nBOct124\n', 'vctilanelefWPC\nDet999\nA 11653\n']","['C\n11653\n', 'RD\nC\n0C\n\n3124\n', 'C\nD999\n11653\n']","['WPC\n11653\n', 'C\n0C\n\n3124\n', 'WPC\n999\n11653\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028020.jpg,"[4000, 6000]",37.294117647058826,"['WPC\n11654\n', 'Sri\n\n2B Dominick\nAcClellanville\nSouthCarolina\n\nBak47A\nLiaht\n']","['C\n11654\n', '28 D\nC\nC\n\n47\n']","['WPC\n11654\n', '28\nC\nC\n\n47\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028021.jpg,"[4000, 6000]",37.15686274509804,"['WPC\n11655\n', 'BVDomiInhe\nTeellanville\nsouth very\n\n80 1992\nhurabtP\n']","['C\n11655\n', 'RD\n\n80 1992\nR\n']","['WPC\n11655\n', 'P\n\n80 1992\nP\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028022.jpg,"[4000, 6000]",37.21568627450981,"['11656\n', 'DVOoMINICK\nAcClellanville\nouthCarolina\n\nlett 974\nlYahhoy\n']","['11656\n', 'DCR\nC\nC\n\n974\n']","['11656\n', 'C\nC\nC\n\n974\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028023.jpg,"[4000, 6000]",36.61538461538461,"['WPCC\n11657\n', 'DVominick\nAcClellanville\nouthCarolina\n0OctI92\nahh\n', 'oO\n\ncClellanville\n\ns\n\nuthCarolina\n\nOOct4 22\nhiaht\n']","['RC\n11657\n', 'D\nC\nC\nD192\n', 'C\n\nC\n\n004 22\n']","['WPCC\n11657\n', 'C\nC\n0192\n', 'C\n\nC\n\n004 22\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028024.jpg,"[4000, 6000]",37.05882352941176,"['WPC\n11658\n', 'BDominick\nAcClellanville\nsouthFarolina\n\nSNov1F72\nlahk2\n']","['C\n11658\n', '5D\nC\nC\n\n172\n2\n']","['WPC\n11658\n', '5\nC\nC\n\n172\n2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028025.jpg,"[4000, 6000]",37.254901960784316,"['WPC\n11659\n', '5bVOMINICK\nAcClellanville\nsouth Carolina\n']","['C\n11659\n', '5DCR\nC\nC\n']","['WPC\n11659\n', '5WC\nC\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028026.jpg,"[4000, 6000]",36.63461538461539,"['WPC\n11660\n', 'NDVOMINICK\nMcClellanville\nSouthCarolina\n']","['RC\n11660\n', 'DCR\nC\nC\n']","['WPC\n11660\n', 'C\nC\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028027.jpg,"[4000, 6000]",36.67307692307692,"['WPC\n11661\n', 'BVominick\nMcClellanville\noe Carolina\n\nloaet199\niho\n', '']","['C\n11661\n', 'DD\nC\nC\n\n0199\n', '']","['WPC\n11661\n', 'C\nC\n\n0199\n', '']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028028.jpg,"[4000, 6000]",36.61538461538461,"['', 'CBVOMITUCS\nAcClellanville\nsouthCarolina\n\nOdet1174\ntoht2\n']","['', 'CRDC\nCC\nC\n\n01174\n2\n']","['', 'CC\nCC\nC\n\n01174\n2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028029.jpg,"[4000, 6000]",37.27450980392157,"['WPC\n11664\n', 'ADVOMINICK\nMcClennanville\nOd arolina\n\n72\npa\n', '']","['C\n11664\n', 'DCR\nC\n\n72\n', '']","['WPC\n11664\n', 'C\nC\n\n72\nP\n', '']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028030.jpg,"[4000, 6000]",37.21568627450981,"['WPC\n11663\n', 'XBVominick\nMcClellanville\nsouthCarolina\n', 'BYomiInick\nAcClellanville\nouthCarolina\n\n11663\n']","['C\n11663\n', 'D\nC\n0C\n', 'D\nC\nC\n\n11663\n']","['WPC\n11663\n', 'C\n0C\n', 'C\nC\n\n11663\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028031.jpg,"[4000, 6000]",36.71153846153846,"['WPC\n11665\n', 'NDVommick\nMcClellanville\n\nBaetnga\n\nLighKP\n', 'RBDomunick\nMcClellanville\n\nSo iOack199 lina\ni ghf 2\n\nWPC\n11665\n']","['C\n11665\n', 'D\nC\n\n3\n', 'RRD\nC\n\n1199\n2\n\nC\n11665\n']","['WPC\n11665\n', 'C\n\n3\n\nP\n', 'C\n\n1199\n2\n\nWPC\n11665\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028032.jpg,"[4000, 6000]",37.09803921568628,"['WPC\n11666\n', 'KBVominick\nMcClellanville\nSoutheCarolina\n']","['RC\n11666\n', 'RDD\nC\nC\n']","['WPC\n11666\n', 'C\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028033.jpg,"[4000, 6000]",36.692307692307686,"['WPC\n11667\n', 'XBDominick\nAcClellanville\n\nB064Ia\naht2\n', 'AcClelanvileMVWPC\nOk lan\n30411667\n']","['C\n11667\n', '28D\nC\n\n4064\n92\n', 'CC\n30411667\n']","['WPC\n11667\n', '28\nC\n\n4064\n92\n', 'CWPC\n30411667\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028034.jpg,"[4000, 6000]",37.09803921568628,"['WPC\n11668\n', 'RBDominick\nMcClellanville\nSouth Carolina\n\n4Ocb197L\nbiaht2\n', 'Ob197L\nwhtoWae11668\n']","['C\n11668\n', 'RD\nC\nC\n\n401972\n2\n', '01978\n211668\n']","['WPC\n11668\n', 'C\nC\n\n401972\n2\n', '01978\n2W11668\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028035.jpg,"[4000, 6000]",36.769230769230774,"['WPC\n11669\n', 'RBDominick\nMcClellanville\n', 'RB Dominick\nOcfR2\nhiaptovM11669\n']","['C\n11669\n', 'RD\nC\n', 'R D\n0R2\n11669\n']","['WPC\n11669\n', 'C\n', '02\n11669\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028036.jpg,"[4000, 6000]",37.11764705882353,"['WPC\n11670\n', 'DVOMITICKH\nAcClellanville\nouth Carolina\n\nHata 22\niahtKAPT\n', 'cCetanetWPC\n4OANT72\ng11670\n']","['C\n11670\n', 'DC\nC\nC\n\n22\n7\n', 'CRC\n472\n11670\n']","['WPC\n11670\n', 'C\nC\nC\n\n22\nP7\n', 'CWPC\n472\n11670\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028037.jpg,"[4000, 6000]",37.05882352941176,"['WPC\n11671\n', 'one\niRpraia\n\nRB prett70\nCharlesREdwards\nMcClellanville\nSoithCarolinag\n']","['C\n11671\n', 'R\n\nR 70\nCR\nC\nCC\n']","['WPC\n11671\n', 'P70\nC\nC\nCC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028038.jpg,"[4000, 6000]",37.1764705882353,"['WPC\n11672\n', 'RBVomirlich\nicClellanville\n\ntoy ct70\nLwbht vi\n', 'DMBC00499\nRICHARDBDOMINICK\n\nMOTH8BUTTERFLYCOLLECTION\n\nUNIVERSITYOFSOUTHCAROLINA\nee\n']","['C\n11672\n', 'R5\nC\n\n70\n', 'DC00499\nRCRD8DC\n\n8RRCC\n\nRCR\n']","['WPC\n11672\n', '5\nC\n\n70\n', 'PC00499\nC8WC\n\n8CC\n\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028039.jpg,"[4000, 6000]",37.19607843137255,"['WPC\n11673\n', 'rNovA7y\nabdomen\nneortac2\nbforent\n\nMcClellanville\nsouthCarolin\n\nMateo\nags\nwe d\n']","['C\n11673\n', '7\n7\n2\n\nC\nC\n']","['WPC\n11673\n', '7\n7\n2\n\nC\nC\n\nW\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028040.jpg,"[4000, 6000]",37.1764705882353,"['WPC\n11674\n', 'McClellanvilie\nSouthCarolina\nRBDominick\n\nlyfac168\nCaahFF\n']","['C\n11674\n', 'C\nC\nRRD\n\n9168\nC\n']","['WPC\n11674\n', 'C\nC\n\n9168\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028041.jpg,"[4000, 6000]",37.235294117647065,"['WPC\n11676\n', 'McClellanville\nSouth Carolina\nDominick\n\n19 19Mar466\n\nLich\n']","['C\n11676\n', 'C\nC\nD\n\n19 19466\n']","['WPC\n11676\n', 'C\nC\nP\n\n19 19466\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028042.jpg,"[4000, 6000]",37.0,"['WPC\n11677\n', 'McClellanville\nSouthCarolina\nRBDominick\n\n0Mar68\nLight2\n']","['C\n11677\n', 'C\nC\nRD\n\n068\n2\n']","['WPC\n11677\n', 'C\nC\n\n068\n2\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028043.jpg,"[4000, 6000]",36.65384615384615,"['WPC\n11675\n', 'McClellanville\npouth Carolina\nDominick\n']","['C\n11675\n', 'C\nC\nD\n']","['WPC\n11675\n', 'C\nC\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028044.jpg,"[4000, 6000]",36.59615384615385,"['WPC\n11678\n', 'McClellanvilie\nSouthCarolina\nRB Dominick\n']","['C\n11678\n', 'C\nC\nR8 D\n']","['WPC\n11678\n', 'C\nC\n8\n']",modelv1.0__2026-05-18 00:43:19
D:/moth_photos/database\batch_15\img_moth_00028045.jpg,"[4000, 6000]",37.07843137254902,"['WPC\n11679\n', 'of\noh ge\n\nsjouthCarolina\nNeB qminicl\n\nI7lhA7oe\n']","['C\n11679\n', '0C\n8\n\n577\n']","['WPC\n11679\n', '0C\n8\n\n577\n']",modelv1.0__2026-05-18 00:43:19
