file_name,image_size,inference_info
D:\moth_photos\database\batch_06\img_moth_00010001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010019.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010020.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010021.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010022.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
D:\moth_photos\database\batch_06\img_moth_00010023.jpg,"[4000, 6000]",modelv1.0__2026-05-16 19:40:18
