file_name,image_size,inference_info
D:\moth_photos\database\batch_09\img_moth_00016001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016019.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016020.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016021.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016022.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016023.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016024.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016025.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016026.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016027.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016028.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016029.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016030.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016031.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016032.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016033.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016034.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016035.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016036.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016037.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016038.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016039.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016040.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016041.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016042.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016043.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
D:\moth_photos\database\batch_09\img_moth_00016044.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:32:04
