file_name,image_size,inference_info
D:\moth_photos\database\batch_19\img_moth_00036001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
D:\moth_photos\database\batch_19\img_moth_00036018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 23:45:41
