file_name,image_size,inference_info
D:\moth_photos\database\batch_08\img_moth_00014001.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014002.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014003.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014004.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014005.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014006.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014007.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014008.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014009.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014010.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014011.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014012.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014013.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014014.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014015.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014016.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014017.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014018.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014019.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014020.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014021.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014022.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014023.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014024.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014025.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
D:\moth_photos\database\batch_08\img_moth_00014026.jpg,"[4000, 6000]",modelv1.0__2026-05-16 20:14:49
